2020-09-01 16:00:51.798 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@3e33d73e' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-01 16:00:51.802 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-01 16:00:51.990 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8050 (http)
2020-09-01 16:00:51.997 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8050"]
2020-09-01 16:00:51.998 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-01 16:00:51.998 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-01 16:00:52.076 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/learn] - Initializing Spring embedded WebApplicationContext
2020-09-01 16:00:52.076 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1062 ms
2020-09-01 16:00:53.443 [main] INFO  org.springframework.aop.framework.CglibAopProxy - Unable to proxy interface-implementing method [public final void org.springframework.web.filter.GenericFilterBean.init(javax.servlet.FilterConfig) throws javax.servlet.ServletException] because it is marked as final: Consider using interface-based JDK proxies instead!
2020-09-01 16:00:53.811 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2f4d01b6, org.springframework.security.web.context.SecurityContextPersistenceFilter@7cc2c551, org.springframework.security.web.header.HeaderWriterFilter@19eea77c, org.springframework.security.web.authentication.logout.LogoutFilter@161d95c6, org.lsy.learn.security.auth.filter.JwtTokenAuthenticationFilter@6b2dd3df, org.lsy.learn.security.auth.filter.JwtUserAuthenticationFilter@1b4872bc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@23648d2d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1544ded3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@661e279d, org.springframework.security.web.session.SessionManagementFilter@ac4915e, org.springframework.security.web.access.ExceptionTranslationFilter@64a1116a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@532dacf5]
2020-09-01 16:00:53.876 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-01 16:00:54.120 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8050"]
2020-09-01 16:00:54.137 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8050 (http) with context path '/learn'
2020-09-01 16:00:54.145 [main] INFO  org.lsy.learn.security.SecurityApplication - Started SecurityApplication in 3.568 seconds (JVM running for 4.516)
2020-09-01 16:02:37.785 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-01 16:02:41.727 [main] INFO  org.lsy.learn.security.SecurityApplication - Starting SecurityApplication on DESKTOP-VI286HH with PID 16080 (D:\learnProject\security\build\classes\java\main started by 18692 in D:\learnProject\security)
2020-09-01 16:02:41.729 [main] INFO  org.lsy.learn.security.SecurityApplication - No active profile set, falling back to default profiles: default
